segment,type,2017,2018,2019,2020,2021
OTB,AD,83.13,143.82,140.6,130.55,110.7
OTB,NPS,245.9875,321.9203,415.933,207.9668,290.4876
OTB,DPS RE,19,17.44,16,17.93,16.7
OTB,DPS SW,44.72,58.64,74.38,50.96,46.48
OTB,DPS (RE+SW),63.72,76.08,90.38,68.89,63.18
OTB,IPS,2.18,1.34,0.74,0.82,0.78
OTB,ML,0,0,0,0,0
OTB,GW,0.534,0.534,0.534,0.534,0.534
OTB,SPR,0,0,0,0,0
HB,AD,39.32,67.34,64.47,61.99,52.12
HB,NPS,710.2125,1132.8691,991.4836,606.8732,701.0536
HB,DPS RE,21.27,19.37,21.43,17.93,19.11
HB,DPS SW,232.82,240.58,273.85,282.31,241.66
HB,DPS (RE+SW),254.09,259.95,295.28,300.24,260.77
HB,IPS,86.16,128.3,120.41,89.48,99.75
HB,ML,6.99,5.776,5.94,5.535,4.784
HB,GW,1.623,1.623,1.623,1.623,1.623
HB,SPR,138.84,155.81,146.83,138.45,153.9
MTB,AD,89.89,172.07,161.36,153.78,119.96
MTB,NPS,203.2731,297.2351,347.6781,232.5644,207.8241
MTB,DPS RE,22.7,22.22,22.44,24.78,25.94
MTB,DPS SW,0,0,0,0,0
MTB,DPS (RE+SW),22.7,22.22,22.44,24.78,25.94
MTB,IPS,34.73,43.52,77.36,39.6,76.65
MTB,ML,0,0,0,0,0
MTB,GW,0.274,0.274,0.274,0.274,0.274
MTB,SPR,0,0,0,0,0
LTB,AD,91.43,144.59,133.59,145.19,110.43
LTB,NPS,16.75005,21.09006,31.96008,20.81006,17.84005
LTB,DPS RE,4.01,3.18,3.17,6.65,6.86
LTB,DPS SW,0,0,0,0,0
LTB,DPS (RE+SW),4.01,3.18,3.17,6.65,6.86
LTB,IPS,1.84,4.07,1.99,2.78,198.65
LTB,ML,0.214,0.255,0.214,0.0993,0.122
LTB,GW,0.121,0.121,0.121,0.121,0.121
LTB,SPR,0,0,0,0,0
TCB,AD,7.42,9.69,8.67,10.62,8.03
TCB,NPS,17.11,10.32,17.19,12.16,11.17
TCB,DPS RE,0,0,0,0,0
TCB,DPS SW,0.83,0.42,1.28,0.46,0.72
TCB,DPS (RE+SW),0.83,0.42,1.28,0.46,0.72
TCB,IPS,0,0,0,0,0
TCB,ML,0,0,0,0,0
TCB,GW,0.0221,0.0221,0.0221,0.0221,0.0221
TCB,SPR,0,0,0,0,0
MR,AD,21.71,24.36,21.73,28.5,21.36
MR,NPS,871.7,507.38,517.62,439.99,414.44
MR,DPS RE,22.23,31.88,18.94,16.93,17.29
MR,DPS SW,16.72,100.89,12.29,12.14,12.93
MR,DPS (RE+SW),38.95,132.77,31.23,29.07,30.22
MR,IPS,0,0,0,0,0
MR,ML,0,0,0,0,0
MR,GW,0.1506,0.1506,0.1506,0.1506,0.1506
MR,SPR,0,0,0,0,0
BCB-S,AD,19.5,36.96,34.84,33.16,25.5
BCB-S,NPS,7.0746,11.82168,22.6872,10.3404,9.4783
BCB-S,DPS RE,1.68,1.63,1.55,1.61,1.7
BCB-S,DPS SW,0,0,0,0,0
BCB-S,DPS (RE+SW),1.68,1.63,1.55,1.61,1.7
BCB-S,IPS,0,0,0,0,0
BCB-S,ML,0,0,0,0,0
BCB-S,GW,0.0035,0.0035,0.0035,0.0035,0.0035
BCB-S,SPR,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,, ,,,
